Date,Index,D12,Rfree,fed_funds,VRP,ICS_ALL,pd,ff12_D,vrp3,sent12_D,ersf,ersf_t1,ersf_D,sent_x_ersf_D
2003-08-31,1008.01,16.445666666666668,0.0007916666666666666,1.03,15.2008,89.3,61.29334981859456,-0.71,13.165433333333349,1.7000000000000028,1.846540659546569,-1.1356475795544339,0.16078112113468146,0.27332790592895895
2003-09-30,995.97,16.586000000000002,0.0007833333333333333,1.01,30.5595,87.7,60.04883636802122,-0.74,18.55463333333335,1.6000000000000085,-1.1356475795544339,5.560487174424033,-2.982188239101003,-4.77150118256163
2003-10-31,1050.71,16.852333333333334,0.0007666666666666667,1.01,6.8398,89.6,62.34804280317265,-0.74,17.533366666666684,9.0,5.560487174424033,0.7711219371239956,6.696134753978466,60.2652127858062
2003-11-30,1058.2,17.11866666666667,0.0007750000000000001,1.0,13.5734,93.7,61.81556195965417,-0.3400000000000001,16.990900000000014,9.5,0.7711219371239956,5.138452088452093,-4.7893652373000375,-45.498969754350355
2003-12-31,1111.92,17.385,0.0007500000000000001,0.98,20.7938,92.6,63.958584987057804,-0.26,13.735666666666683,5.8999999999999915,5.138452088452093,1.7861979279084856,4.3673301513280975,25.767247892835737
2004-01-31,1131.13,17.598000000000003,0.0007333333333333333,1.0,14.086,103.8,64.27605409705649,-0.24,16.151066666666683,21.39999999999999,1.7861979279084856,1.274621329997429,-3.352254160543607,-71.73823903563317
2004-02-29,1144.94,17.811,0.0007750000000000001,1.01,9.8728,94.4,64.282746617259,-0.25,14.91753333333335,14.5,1.274621329997429,-1.5830410036042704,-0.5115765979110567,-7.417860669710322
2004-03-31,1126.21,18.024,0.0007833333333333333,1.0,9.4462,95.8,62.48391034176653,-0.25,11.135000000000014,18.200000000000003,-1.5830410036042704,-1.6226229813070294,-2.8576623336016995,-52.00945447155094
2004-04-30,1107.3,18.216666666666665,0.0007833333333333333,1.0,13.4427,94.2,60.78499542543459,-0.26,10.920566666666682,8.200000000000003,-1.6226229813070294,1.2618898321241938,-0.039581977702759064,-0.3245722171626244
2004-05-31,1120.68,18.409333333333333,0.0008500000000000001,1.0,5.2403,90.2,60.87564278988919,-0.26,9.376400000000016,-1.8999999999999915,1.2618898321241938,1.831398228456518,2.8845128134312232,-5.480574345519299
2004-06-30,1140.84,18.601999999999997,0.0010583333333333332,1.03,10.6631,95.6,61.328889366734764,-0.18999999999999995,9.78203333333335,5.8999999999999915,1.831398228456518,-3.4026402475368958,0.5695083963323242,3.360099538360708
2004-07-31,1101.72,18.788999999999998,0.0011083333333333333,1.26,10.0533,96.7,58.63643621267764,0.25,8.65223333333335,5.799999999999997,-3.4026402475368958,0.2489330622420657,-5.2340384759934135,-30.357423160761783
2004-08-31,1104.24,18.976,0.0012333333333333335,1.43,10.4318,95.9,58.191399662731875,0.3999999999999999,10.38273333333335,6.6000000000000085,0.2489330622420657,0.9435074500712298,3.6515733097789616,24.100383844541177
2004-09-30,1114.58,19.163,0.0013750000000000001,1.61,9.0262,94.2,58.16312685905129,0.6000000000000001,9.837100000000015,6.5,0.9435074500712298,1.3987286092818285,0.6945743878291641,4.514733520889567
2004-10-31,1130.2,19.256,0.0014666666666666667,1.76,14.1218,91.7,58.69339426672206,0.75,11.193266666666682,2.1000000000000085,1.3987286092818285,3.8296603845926827,0.4552211592105987,0.9559644343422611
